datetime,1,2,3,4,5
202109030000,5.0,14.0,18.0,3.0,7.0
202109030015,6.0,11.0,17.0,3.0,4.0
202109030030,6.0,10.0,15.0,3.0,4.0
202109030045,5.0,8.0,16.0,3.0,4.0
202109030100,5.0,11.0,17.0,4.0,4.0
202109030115,3.0,11.0,17.0,4.0,3.0
202109030130,4.0,10.0,14.0,3.0,2.0
202109030145,3.0,10.0,13.0,3.0,2.0
202109030200,3.0,10.0,14.0,3.0,2.0
202109030215,2.0,9.0,14.0,4.0,3.0
202109030230,2.0,9.0,11.0,2.0,4.0
202109030245,2.0,11.0,12.0,2.0,3.0
202109030300,4.0,12.0,12.0,2.0,2.0
202109030315,3.0,12.0,11.0,4.0,0.0
202109030330,3.0,12.0,13.0,4.0,0.0
202109030345,3.0,11.0,14.0,3.0,0.0
202109030400,3.0,13.0,15.0,3.0,0.0
202109030415,0.0,13.0,14.0,2.0,0.0
202109030430,0.0,14.0,13.0,2.0,0.0
202109030445,0.0,14.0,13.0,2.0,0.0
202109030500,2.0,11.0,11.0,2.0,4.0
202109030515,3.0,9.0,11.0,1.0,5.0
202109030530,3.0,9.0,14.0,3.0,4.0
202109030545,4.0,8.0,14.0,3.0,4.0
202109030600,6.0,9.0,19.0,5.0,4.0
202109030615,8.0,9.0,23.0,3.0,3.0
202109030630,7.0,11.0,25.0,6.0,6.0
202109030645,8.0,9.0,29.0,8.0,6.0
202109030700,9.0,12.0,31.0,10.0,5.0
202109030715,8.0,10.0,41.0,10.0,8.0
202109030730,12.0,13.0,37.0,8.0,7.0
202109030745,10.0,11.0,36.0,12.0,7.0
202109030800,10.0,8.0,37.0,14.0,6.0
202109030815,8.0,9.0,35.0,12.0,6.0
202109030830,9.0,7.0,33.0,14.0,7.0
202109030845,8.0,8.0,33.0,13.0,7.0
202109030900,7.0,11.0,33.0,15.0,5.0
202109030915,8.0,10.0,31.0,15.0,5.0
202109030930,9.0,10.0,34.0,14.0,6.0
202109030945,9.0,14.0,38.0,15.0,7.0
202109031000,10.0,12.0,44.0,15.0,9.0
202109031015,11.0,11.0,35.0,16.0,7.0
202109031030,12.0,12.0,36.0,15.0,10.0
202109031045,11.0,10.0,35.0,16.0,10.0
202109031100,11.0,12.0,32.0,16.0,8.0
202109031115,12.0,14.0,35.0,15.0,9.0
202109031130,12.0,14.0,36.0,13.0,7.0
202109031145,11.0,12.0,38.0,14.0,8.0
202109031200,11.0,11.0,47.0,13.0,10.0
202109031215,13.0,10.0,51.0,10.0,9.0
202109031230,13.0,11.0,47.0,13.0,9.0
202109031245,10.0,12.0,34.0,15.0,6.0
202109031300,10.0,14.0,28.0,12.0,8.0
202109031315,9.0,14.0,26.0,15.0,9.0
202109031330,9.0,16.0,28.0,16.0,9.0
202109031345,9.0,14.0,27.0,14.0,8.0
202109031400,10.0,10.0,29.0,13.0,8.0
202109031415,9.0,9.0,33.0,13.0,9.0
202109031430,9.0,9.0,33.0,14.0,10.0
202109031445,10.0,10.0,35.0,13.0,7.0
202109031500,9.0,12.0,42.0,13.0,6.0
202109031515,8.0,14.0,35.0,12.0,6.0
202109031530,9.0,13.0,35.0,14.0,8.0
202109031545,10.0,14.0,39.0,16.0,9.0
202109031600,12.0,13.0,37.0,14.0,8.0
202109031615,11.0,11.0,39.0,17.0,8.0
202109031630,12.0,12.0,40.0,15.0,8.0
202109031645,14.0,14.0,35.0,14.0,11.0
202109031700,12.0,18.0,43.0,16.0,10.0
202109031715,16.0,20.0,43.0,14.0,9.0
202109031730,20.0,17.0,44.0,14.0,10.0
202109031745,20.0,18.0,50.0,13.0,12.0
202109031800,18.0,20.0,57.0,15.0,14.0
202109031815,16.0,17.0,60.0,17.0,10.0
202109031830,13.0,19.0,57.0,16.0,10.0
202109031845,12.0,18.0,50.0,17.0,11.0
202109031900,12.0,17.0,48.0,14.0,8.0
202109031915,10.0,17.0,46.0,12.0,7.0
202109031930,11.0,19.0,45.0,13.0,6.0
202109031945,9.0,20.0,41.0,10.0,9.0
202109032000,10.0,21.0,44.0,10.0,11.0
202109032015,9.0,21.0,49.0,12.0,10.0
202109032030,10.0,22.0,44.0,11.0,8.0
202109032045,9.0,21.0,44.0,11.0,6.0
202109032100,13.0,15.0,46.0,11.0,8.0
202109032115,11.0,16.0,42.0,9.0,7.0
202109032130,10.0,17.0,36.0,8.0,7.0
202109032145,11.0,18.0,32.0,7.0,7.0
202109032200,9.0,16.0,34.0,9.0,7.0
202109032215,11.0,14.0,28.0,8.0,7.0
202109032230,10.0,15.0,31.0,7.0,6.0
202109032245,10.0,15.0,39.0,7.0,7.0
202109032300,10.0,14.0,49.0,6.0,5.0
202109032315,10.0,13.0,44.0,6.0,5.0
202109032330,9.0,15.0,37.0,9.0,4.0
202109032345,8.0,14.0,26.0,7.0,3.0
202109040000,8.0,13.0,23.0,5.0,7.0
202109040015,7.0,11.0,21.0,4.0,7.0
202109040030,6.0,13.0,18.0,3.0,6.0
202109040045,6.0,9.0,18.0,4.0,6.0
202109040100,6.0,10.0,22.0,4.0,4.0
202109040115,1.0,9.0,21.0,3.0,3.0
202109040130,1.0,10.0,19.0,4.0,3.0
202109040145,1.0,10.0,20.0,3.0,2.0
202109040200,2.0,8.0,19.0,3.0,2.0
202109040215,3.0,8.0,17.0,2.0,3.0
202109040230,3.0,8.0,14.0,3.0,2.0
202109040245,2.0,7.0,15.0,3.0,2.0
